dome_code,dome_name,naver_category
13_04_05_05_00,취미/도서 > 반려동물 > 강아지장난감/훈련 > 훈련용품,생활/건강 > 반려동물 > 강아지 > 훈련용품
13_04_00_00_00,취미/도서 > 반려동물,생활/건강 > 반려동물
